502|Plasma Cannon|Sr|De|100|1025,80,600,800,0|1,60,375,39,1,1|0,0,0,0,0,0|1,45,80,85,1,0|0,0,0,2, , 
505|StronTech Shield-booster|Sr|De|75|700,100,1500,500,0|0,0,0,0,0,0|0,0,0,0,0,0|1,40,200,90,2,0|0,0,0,4, , 
508|StronTech Artillery|Sr|De|600|1750,150,1200,350,0|1,90,400,25,1,8|2,88,600,25,3,4|1,40,200,90,2,0|0,0,0,5, , 
503|Ion Cannon|Nd|De|100|950,80,400,1200,0|1,60,400,40,1,1|0,0,0,0,0,0|1,45,80,85,1,1|0,0,0,2, , 
506|NeoTech Shield-booster|Nd|De|75|700,125,1250,800,0|0,0,0,0,0,0|0,0,0,0,0,0|1,40,200,75,2,0|0,0,0,3, , 
509|NeoTech Artillery|Nd|De|600|2000,150,600,450,0|1,90,320,28,1,10|3,88,620,22,2,2|1,42,100,80,2,0|0,0,0,5, , 
510|InTech Defence-station|In|De|2000|37000,300,4500,500,0|1,80,1300,27,2,2|2,80,425,35,6,0|2,38,200,95,5,0|0,0,0,12, , 
511|StronTech Defence-station|Sr|De|2000|29000,300,8000,1000,0|1,80,3000,25,1,4|3,80,375,30,4,0|2,38,200,95,5,0|0,0,0,16, , 
512|NeoTech Defence-station|Nd|De|2000|33000,300,6000,2500,0|2,80,1400,26,1,3|4,80,400,32,3,0|2,38,200,95,5,0|0,0,0,14, , 
513|InTech Battle-station|In|De|6000|100000,450,12000,3000,0|2,84,3000,15,2,2|4,88,350,32,4,0|4,40,300,100,5,0|0,0,0,18, , 
514|StronTech Battle-station|Sr|De|6000|75000,450,20000,4000,0|2,84,3500,15,2,3|5,88,280,30,4,0|4,40,300,100,5,0|0,0,0,22, , 
515|NeoTech Battle-station|Nd|De|6000|80000,450,15000,500,0|2,84,3000,15,2,2|7,88,400,28,2,0|4,40,300,100,5,0|0,0,0,20, , 
